From	Entry	Database	Gene Names	Gene Ontology (biological process)	Gene Ontology (molecular function)
evm.utg35.14	A0A6P8I945	trembl	LOC116297150	cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]	G protein-coupled receptor activity [GO:0004930]; transmembrane signaling receptor activity [GO:0004888]
evm.utg35.16	Q90416	swissprot	rxrga nr2b1 nr2b3a rxr rxra rxrg	nervous system development [GO:0007399]; nuclear receptor-mediated steroid hormone signaling pathway [GO:0030518]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; retinoic acid receptor signaling pathway [GO:0048384]	DNA-binding transcription factor activity [GO:0003700]; nuclear receptor activity [GO:0004879]; nuclear steroid receptor activity [GO:0003707]; retinoic acid-responsive element binding [GO:0044323]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
evm.utg35.16.1.5c22ef75	O08580	swissprot	Esrra Err1 Estrra Nr3b1	cartilage development [GO:0051216]; intracellular receptor signaling pathway [GO:0030522]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear receptor-mediated steroid hormone signaling pathway [GO:0030518]; positive regulation of cellular response to insulin stimulus [GO:1900078]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell population proliferation [GO:0042127]; regulation of ossification [GO:0030278]; regulation of osteoblast differentiation [GO:0045667]; regulation of osteoclast differentiation [GO:0045670]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; estrogen response element binding [GO:0034056]; nuclear receptor activity [GO:0004879]; nuclear steroid receptor activity [GO:0003707]; protein binding [GO:0005515]; protein domain specific binding [GO:0019904]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid binding [GO:0005496]; zinc ion binding [GO:0008270]
evm.utg35.18	P26196	swissprot	DDX6 HLR2 RCK	deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; miRNA-mediated gene silencing by inhibition of translation [GO:0035278]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; P-body assembly [GO:0033962]; pre-mRNA catabolic process [GO:1990261]; spermatid differentiation [GO:0048515]; spermatogenesis [GO:0007283]; stress granule assembly [GO:0034063]; viral RNA genome packaging [GO:0019074]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cadherin binding [GO:0045296]; helicase activity [GO:0004386]; mRNA binding [GO:0003729]; nucleic acid binding [GO:0003676]; protein binding [GO:0005515]; protein domain specific binding [GO:0019904]; RNA helicase activity [GO:0003724]
evm.utg35.19	Q8JZX4	swissprot	Rbm17 Spf45	alternative mRNA splicing, via spliceosome [GO:0000380]; mRNA cis splicing, via spliceosome [GO:0045292]; RNA splicing, via transesterification reactions [GO:0000375]	nucleic acid binding [GO:0003676]; protein binding [GO:0005515]
evm.utg35.20	A6H7H7	swissprot	FBXO3 FBX3	protein ubiquitination [GO:0016567]; response to lipopolysaccharide [GO:0032496]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	ubiquitin-like ligase-substrate adaptor activity [GO:1990756]
evm.utg35.21	A0ABN8Q0X7	trembl	PEVE_00001543		signaling receptor activity [GO:0038023]
evm.utg35.22	A0A6P8I7X6	trembl	LOC116297145	DNA restriction-modification system [GO:0009307]	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]
evm.utg35.23	Q5RBN1	swissprot	FNDC3A FNDC3	spermatid development [GO:0007286]	
evm.utg47.1	A0A913X8L7	trembl			nucleic acid binding [GO:0003676]
evm.utg47.5	A7SDW5	swissprot	v1g169424	cytoplasmic translational initiation [GO:0002183]; formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]	translation initiation factor activity [GO:0003743]
evm.utg47.6	Q5HZT0	swissprot	dxo dom3z	mRNA catabolic process [GO:0006402]; NAD-cap decapping [GO:0110155]; nuclear mRNA surveillance [GO:0071028]; nuclear-transcribed mRNA catabolic process [GO:0000956]; RNA destabilization [GO:0050779]	5'-3' exonuclease activity [GO:0008409]; magnesium ion binding [GO:0000287]; mRNA 5'-diphosphatase activity [GO:0034353]; mRNA binding [GO:0003729]; RNA NAD+-cap (NAD+-forming) hydrolase activity [GO:0110152]
evm.utg47.7	A0ABN8MHJ6	trembl	PEVE_00035241	chromatin remodeling [GO:0006338]	histone methyltransferase activity [GO:0042054]
evm.utg47.11	A0A6P8HIE2	trembl	LOC116289536	regulation of canonical NF-kappaB signal transduction [GO:0043122]; regulation of transcription by RNA polymerase II [GO:0006357]	
evm.utg47.11.1.5c279565	A0A6P8HIE2	trembl	LOC116289536	regulation of canonical NF-kappaB signal transduction [GO:0043122]; regulation of transcription by RNA polymerase II [GO:0006357]	
evm.utg47.15.1.5c22f13e	Q949P2	swissprot	CYOP TOP2 At5g10540 F12B17.110	proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; peptidase activity [GO:0008233]
evm.utg47.15	Q949P2	swissprot	CYOP TOP2 At5g10540 F12B17.110	proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; peptidase activity [GO:0008233]
evm.utg47.15.2.5c22f13e	Q949P2	swissprot	CYOP TOP2 At5g10540 F12B17.110	proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; peptidase activity [GO:0008233]
evm.utg47.15.3.5c22f13e	Q949P2	swissprot	CYOP TOP2 At5g10540 F12B17.110	proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; peptidase activity [GO:0008233]
evm.utg47.17	Q49B96	swissprot	COX19	intracellular copper ion homeostasis [GO:0006878]; mitochondrial respiratory chain complex IV assembly [GO:0033617]	protein binding [GO:0005515]
evm.utg47.18	Q5ZL16	swissprot	WDR45B WIPI3 RCJMB04_8d21	autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; cellular response to starvation [GO:0009267]; glycophagy [GO:0061723]; nucleophagy [GO:0044804]; pexophagy [GO:0000425]; protein localization to phagophore assembly site [GO:0034497]	phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; protein-macromolecule adaptor activity [GO:0030674]
evm.utg47.19	A0A6P8H9X8	trembl	LOC116289547		glutathione transferase activity [GO:0004364]
evm.utg47.21	O73919	swissprot	cryaa	lens development in camera-type eye [GO:0002088]; negative regulation of apoptotic process [GO:0043066]; protein refolding [GO:0042026]; response to heat [GO:0009408]	structural constituent of eye lens [GO:0005212]; unfolded protein binding [GO:0051082]
evm.utg47.22	Q90497	swissprot	CRYAA	lens development in camera-type eye [GO:0002088]; negative regulation of apoptotic process [GO:0043066]; protein refolding [GO:0042026]; response to heat [GO:0009408]	structural constituent of eye lens [GO:0005212]; unfolded protein binding [GO:0051082]
evm.utg47.25	Q8VBX0	swissprot	Asb13	intracellular signal transduction [GO:0035556]; protein ubiquitination [GO:0016567]	
evm.utg47.27.2.5c22f142	Q29293	swissprot	RPL3	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
evm.utg47.27.1.5c22f142	Q29293	swissprot	RPL3	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
evm.utg47.27	Q29293	swissprot	RPL3	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
evm.utg47.27.1.5c22f142.1.5c279569	A0ABN8P3H8	trembl	PLOB_00035902	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
evm.utg47.28	Q5RB52	swissprot	NOL11	maturation of SSU-rRNA [GO:0030490]; positive regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901838]	
evm.utg47.28.1.5c22f13f	A0A6P8J638	trembl	LOC116308842	maturation of SSU-rRNA [GO:0030490]	
evm.utg47.29	Q5ZHN3	swissprot	WIPI2 RCJMB04_35d18	autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; cellular response to starvation [GO:0009267]; glycophagy [GO:0061723]; nucleophagy [GO:0044804]; pexophagy [GO:0000425]; protein localization to phagophore assembly site [GO:0034497]; response to stress [GO:0006950]	phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; protein-macromolecule adaptor activity [GO:0030674]
evm.utg47.31	A0A2B4R401	trembl	Svep1 AWC38_SpisGene22886		calcium ion binding [GO:0005509]
evm.utg47.32	O75792	swissprot	RNASEH2A RNASEHI RNHIA	mismatch repair [GO:0006298]; ribonucleotide excision repair [GO:1990516]; RNA catabolic process [GO:0006401]; RNA metabolic process [GO:0016070]	nucleic acid binding [GO:0003676]; protein binding [GO:0005515]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; RNA nuclease activity [GO:0004540]
evm.utg48.1	Q460N5	swissprot	PARP14 BAL2 KIAA1268	NAD+ catabolic process [GO:0019677]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of type II interferon-mediated signaling pathway [GO:0060336]; positive regulation of interleukin-4-mediated signaling pathway [GO:1902216]; protein poly-ADP-ribosylation [GO:0070212]	enzyme binding [GO:0019899]; NAD+ binding [GO:0070403]; NAD+ poly-ADP-ribosyltransferase activity [GO:0003950]; NAD+-protein-glutamate ADP-ribosyltransferase activity [GO:0140807]; NAD+-protein mono-ADP-ribosyltransferase activity [GO:1990404]; protein binding [GO:0005515]; transcription corepressor activity [GO:0003714]
evm.utg48.4	A0A6P8ITI5	trembl	LOC116304638		nucleic acid binding [GO:0003676]
utg48.equina_smart_419223.mrna1	A0A6S7JMT6	trembl	PACLA_8A085654	negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]	NAD+ poly-ADP-ribosyltransferase activity [GO:0003950]; transcription corepressor activity [GO:0003714]
utg48.equina_smart_1278559.mrna2	A0ABN8LW48	trembl	PEVE_00003779		nucleic acid binding [GO:0003676]
evm.utg48.5	A0AAU9X9D0	trembl	PMEA_00019664	negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; protein poly-ADP-ribosylation [GO:0070212]	NAD+ poly-ADP-ribosyltransferase activity [GO:0003950]; NAD+-protein mono-ADP-ribosyltransferase activity [GO:1990404]; transcription corepressor activity [GO:0003714]
evm.utg48.6	C3MS47	swissprot	ilvD M1425_2257	branched-chain amino acid biosynthetic process [GO:0009082]; L-valine biosynthetic process [GO:0009099]	2 iron, 2 sulfur cluster binding [GO:0051537]; dihydroxy-acid dehydratase activity [GO:0004160]; hydro-lyase activity [GO:0016836]; magnesium ion binding [GO:0000287]
evm.utg48.7	A0ABN8QG84	trembl	PEVE_00004580	branched-chain amino acid biosynthetic process [GO:0009082]	dihydroxy-acid dehydratase activity [GO:0004160]; hydro-lyase activity [GO:0016836]
evm.utg48.8	Q3MIX3	swissprot	ADCK5		protein binding [GO:0005515]
evm.utg48.9	A0A6P8ITC8	trembl	LOC116304634		DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
evm.utg48.10	A0A6P8IVW6	trembl	LOC116304633		DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
evm.utg48.12	A0A6P8IJ52	trembl	LOC116301867	calcium ion transport [GO:0006816]; monoatomic cation transmembrane transport [GO:0098655]	monoatomic cation channel activity [GO:0005261]
evm.utg48.13	P51855	swissprot	Gss	glutathione biosynthetic process [GO:0006750]; response to cadmium ion [GO:0046686]	ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; glycine binding [GO:0016594]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; peptide binding [GO:0042277]; protein homodimerization activity [GO:0042803]
evm.utg48.13.1.5c22f154	Q8HXX5	swissprot	GSS QccE-14611	glutathione biosynthetic process [GO:0006750]	ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]
evm.utg48.13.2.5c22f154	P46413	swissprot	Gss	glutathione biosynthetic process [GO:0006750]; response to amino acid [GO:0043200]; response to cadmium ion [GO:0046686]; response to nutrient levels [GO:0031667]; response to tumor necrosis factor [GO:0034612]; response to xenobiotic stimulus [GO:0009410]	ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; glycine binding [GO:0016594]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; peptide binding [GO:0042277]; protein homodimerization activity [GO:0042803]
evm.utg48.13.4.5c22f154.1.5c279579	Q8HXX5	swissprot	GSS QccE-14611	glutathione biosynthetic process [GO:0006750]	ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]
evm.utg48.13.3.5c22f154	Q54E83	swissprot	gshB DDB_G0291756	glutathione biosynthetic process [GO:0006750]	ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; magnesium ion binding [GO:0000287]
evm.utg48.13.4.5c22f154	P46413	swissprot	Gss	glutathione biosynthetic process [GO:0006750]; response to amino acid [GO:0043200]; response to cadmium ion [GO:0046686]; response to nutrient levels [GO:0031667]; response to tumor necrosis factor [GO:0034612]; response to xenobiotic stimulus [GO:0009410]	ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; glycine binding [GO:0016594]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; peptide binding [GO:0042277]; protein homodimerization activity [GO:0042803]
evm.utg48.13.5.5c22f154	P46413	swissprot	Gss	glutathione biosynthetic process [GO:0006750]; response to amino acid [GO:0043200]; response to cadmium ion [GO:0046686]; response to nutrient levels [GO:0031667]; response to tumor necrosis factor [GO:0034612]; response to xenobiotic stimulus [GO:0009410]	ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; glycine binding [GO:0016594]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; peptide binding [GO:0042277]; protein homodimerization activity [GO:0042803]
evm.utg48.14	P35668	swissprot	gss	glutathione biosynthetic process [GO:0006750]	ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]
evm.utg48.16	Q8IYS1	swissprot	PM20D2 ACY1L2	proteolysis [GO:0006508]; regulation of protein metabolic process [GO:0051246]	dipeptidase activity [GO:0016805]; identical protein binding [GO:0042802]; protein binding [GO:0005515]
evm.utg48.17	Q2HJ94	swissprot	DNAJA2	cellular response to heat [GO:0034605]; protein refolding [GO:0042026]; response to heat [GO:0009408]	ATPase activator activity [GO:0001671]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; Hsp70 protein binding [GO:0030544]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]
evm.utg48.17.1.5c22f154	Q2HJ94	swissprot	DNAJA2	cellular response to heat [GO:0034605]; protein refolding [GO:0042026]; response to heat [GO:0009408]	ATPase activator activity [GO:0001671]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; Hsp70 protein binding [GO:0030544]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]
